feature_map,n_pool,n_qubits,acc_mean,acc_std,f1_mean,f1_std,mcc_mean,mcc_std
RBF-Class,1200,4,0.8513888888888889,0.025115474055590475,0.8503490854225504,0.027026121886243214,0.8023961828371539,0.03337055977446729
RBF-Class,1200,8,0.8416666666666667,0.025344843876242567,0.841164435692623,0.02702230484794173,0.7894678270695525,0.03381723543055048
RBF-Class,1200,12,0.8597222222222222,0.02294821061369208,0.8592662621142865,0.024350507039670392,0.8132211821932863,0.030446775753127393
RBF-Class,1200,16,0.8555555555555555,0.020971762320196517,0.8548551632299525,0.022213987182464985,0.8078888730725001,0.028080060748670494
RBF-Class,1200,20,0.8597333333333333,0.008686963412685338,0.8586110000000001,0.008859741474783573,0.813791,0.011516751625349889
RBF-Class,1600,4,0.8562500000000001,0.01653594569415369,0.8554426167810204,0.01690180092095928,0.8083685450307286,0.021906901889180503
RBF-Class,1600,8,0.8624999999999999,0.029810600044279545,0.8612800691698591,0.030178211454244725,0.8168469456532521,0.03975103974271832
RBF-Class,1600,12,0.875,0.031715286140913186,0.8743391164287875,0.03229325243817337,0.8333883467282419,0.042199445044774894
RBF-Class,1600,16,0.8760416666666666,0.036219455522320254,0.8753396523856073,0.0369749315893259,0.8346960877917354,0.0482752627376053
RBF-Class,1600,20,0.8739666666666667,0.026171039974241216,0.8731276666666666,0.026692413984751043,0.8326603333333334,0.034695259248683094
RBF-Class,2000,4,0.8675,0.01952562418976665,0.8673387931381673,0.019758490723686906,0.8236695159329565,0.02586152728311181
RBF-Class,2000,8,0.8758333333333334,0.017017148213885138,0.8757874739592996,0.017292191630459686,0.8345380543035779,0.022732741656181082
RBF-Class,2000,12,0.8741666666666666,0.01607275126832153,0.8737687232432326,0.016375996104457172,0.8323327131627082,0.02130735707105264
RBF-Class,2000,16,0.8716666666666667,0.014215601757693326,0.8713691714131685,0.0143571660743792,0.8293211765563058,0.01899571603317925
RBF-Class,2000,20,0.8725,0.012500000000000039,0.871632,0.01274900000000001,0.8307160000000001,0.016571000000000002
RBF-Class-2n,400,4,0.85,0.02165063509461097,0.8486182163860588,0.021684662771912448,0.8021749556166421,0.029866930081022553
RBF-Class-2n,400,8,0.8916666666666666,0.03818813079129869,0.8902541571817925,0.03847415333709392,0.857253256326093,0.049193461400686485
RBF-Class-2n,400,12,0.8708333333333332,0.036084391824351594,0.8695674473813386,0.036971568936438715,0.8294135339943048,0.04701668643231705
RBF-Class-2n,400,16,0.8666666666666667,0.03145764348029476,0.8658026632994541,0.031168204802462882,0.823297687458421,0.04193624724982377
RBF-Class-2n,400,20,0.875,0.03307189138830739,0.8740899893338917,0.033230615946067014,0.8341562015915557,0.043766777943242935
RBF-Class-2n,800,4,0.8895833333333334,0.02366211810750108,0.8882994338872737,0.024842823557498048,0.8540347274732976,0.030293115004028547
RBF-Class-2n,800,8,0.8916666666666666,0.021949278651776517,0.8901315587186351,0.022932741616283933,0.857022912765951,0.02778466567500617
RBF-Class-2n,800,12,0.8895833333333334,0.018042195912175797,0.8877694252809633,0.019778459003071607,0.8541333440594694,0.022731774893096024
RBF-Class-2n,800,16,0.8979166666666667,0.020090939085401945,0.896185562711556,0.021183421074488968,0.8653470760764583,0.025371465149932146
RBF-Class-2n,800,20,0.8875000000000001,0.021650635094610914,0.8858589968273907,0.023410503834243476,0.8520598539126532,0.026016817447920948
RBF-Class-2n,1200,4,0.8416666666666667,0.025344843876242567,0.841164435692623,0.02702230484794173,0.7894678270695525,0.03381723543055048
RBF-Class-2n,1200,8,0.8555555555555555,0.020971762320196517,0.8548551632299525,0.022213987182464985,0.8078888730725001,0.028080060748670494
RBF-Class-2n,1200,12,0.8708333333333335,0.03145764348029482,0.8701526236483744,0.03283185125172952,0.8284789385409873,0.04161791978232476
RBF-Class-2n,1200,16,0.8652777777777777,0.023692669596155555,0.8646950959321749,0.024763777407734125,0.8208080411461146,0.0316028208507425
RBF-Class-2n,1200,20,0.8583333333333334,0.01816207893141949,0.8575437909037081,0.01918452135357999,0.8115397041007736,0.0241283578749882
