feature_map,slope_logVar_vs_n,ci95_lo,ci95_hi,per_qubit_factor
RBF-Class,-0.1197614002902118,-0.1197614117173828,-0.1197613888630407,0.8871320809240826
RBF-Class-2n,-0.1181696042066733,-0.1181696171295103,-0.1181695912838363,0.8885453388068492
W2K-Block,0.0163435219487664,0.0163435219487662,0.0163435219487666,1.0164778078744852
IQP,-0.6748029352359765,-0.6748029352359765,-0.6748029352359765,0.5092567672844996
HEE,-0.7675750713216566,-0.7675750713216569,-0.7675750713216563,0.4641372044030947
ZZ,-1.268093987737943,-1.268093987737943,-1.268093987737943,0.2813674007314881
