feature_map,n_pool,n_qubits,seed,acc,f1,mcc
W2K-Block,400,4,0,0.8375,0.8365598940067025,0.7858456960893944
W2K-Block,400,4,1,0.85,0.8481633985485078,0.8006274214327584
W2K-Block,400,4,2,0.875,0.873032373032373,0.8364342116566662
W2K-Block,800,4,0,0.8625,0.8603494785704366,0.8186121305900684
W2K-Block,800,4,1,0.875,0.8732585277111802,0.8353146912398253
W2K-Block,800,4,2,0.89375,0.8934129122477452,0.8587806195676357
W2K-Block,1200,4,0,0.8583333333333333,0.85767089093702,0.8122656144077175
W2K-Block,1200,4,1,0.8041666666666667,0.8006609747889322,0.7392635968949053
W2K-Block,1200,4,2,0.8791666666666667,0.8798825517286257,0.8390466628501028
W2K-Block,1600,4,0,0.878125,0.8768672613262205,0.8376822542370636
W2K-Block,1600,4,1,0.825,0.8236828017168586,0.7670365236047487
W2K-Block,1600,4,2,0.8875,0.8873209543388257,0.8503973194664817
W2K-Block,2000,4,0,0.9,0.900021666537491,0.866642771117142
W2K-Block,2000,4,1,0.8625,0.8628977293644027,0.8166134432776596
W2K-Block,2000,4,2,0.8525,0.8516398659605451,0.8034627259819088
IQP,400,4,0,0.5875,0.5784467341282546,0.452480465953584
IQP,400,4,1,0.5125,0.5103455103455103,0.349812387098547
IQP,400,4,2,0.55,0.552486871813489,0.4020185944447236
IQP,800,4,0,0.5625,0.5589283437685264,0.4167298415656565
IQP,800,4,1,0.56875,0.5625185311710411,0.4263332758674321
IQP,800,4,2,0.60625,0.6064230076996034,0.4759968830570706
IQP,1200,4,0,0.6333333333333333,0.632164812441752,0.5115830555621957
IQP,1200,4,1,0.575,0.571931814276386,0.4331048374511956
IQP,1200,4,2,0.6291666666666667,0.6264665028427898,0.5056567651319367
IQP,1600,4,0,0.6875,0.6835976105993489,0.5841270986689243
IQP,1600,4,1,0.675,0.6689811637791051,0.5685651711978541
IQP,1600,4,2,0.65,0.6493358238902386,0.5334029102358181
IQP,2000,4,0,0.675,0.6756678413109922,0.5667815201804611
IQP,2000,4,1,0.67,0.6694660126116674,0.5603088270761055
IQP,2000,4,2,0.6625,0.6602274267296954,0.550290362590267
HEE,400,4,0,0.8125,0.8094754161827333,0.7506266317926175
HEE,400,4,1,0.7625,0.7609848484848485,0.6835082601749286
